협력사 이름,협력사 Status,발주담당자,협력사 결제조건,하도급계약 대상여부,업태,인쇄,1. 제조유형,2. Goods Category_1.goods
(주)상일씨앤씨,거래중,김민지,건별,대상,"사무용품, UV평판인쇄, 플라스틱 제조",UV인쇄,턴키제작,Lifestyle
엔엠텍코리아주식회사,거래중,김민지,정기(월),대상,"가죽가공, 공박인쇄, 색박인쇄","공박인쇄, 색박인쇄",턴키제작,"Stationery, Lifestyle"
주식회사 피앤더블유인터네셔널,거래중,육승미,정기(월),대상,방향,,단순구매,Fragrance
주식회사 더블에이치,거래중,이난영,건별,대상,"방향, 승화전사인쇄",전사인쇄,턴키제작,Fragrance
주식회사 디자인오엔,거래중,김민지,정기(월),대상,"옵셋인쇄, 가죽가공, 디지털인쇄, 공박인쇄, 색박인쇄",옵셋인쇄,외주용역,Stationery
(주)파워,거래중,김민정,건별,비대상,테크,,단순구매,Wine
라온누리,거래중,김민정,정기(월),비대상,"스테인리스, 드링크웨어",,단순구매,Drinkware
주식회사 클라고,거래중,김민정,건별,비대상,테크,,단순구매,Tech
키멤버스,거래중,김민정,건별,비대상,패브릭,,단순구매,"Tech, Bag&pouch"
하이온,거래중,김민정,건별,비대상,테크,,단순구매,Tech
(주)승화파트너스,거래중,김민지,정기(격주),대상,패브릭,승화인쇄,턴키제작,"Fabric, Lifestyle, Fragrance, Bag&pouch, Apparel, Sports, Drinkware"
(주)이케이비전,거래중,김민지,건별,비대상,"생활용품, 플라스틱 제조",,단순구매,Lifestyle
(주)홍기씨앤디,거래중,김민지,건별,대상,칠도금,칠도금,턴키제작,Lifestyle
개미기획,거래중,김민지,정기(격주),대상,실크인쇄,실크인쇄,턴키제작,"Stationery, Tech, Drinkware, Bag&pouch, Apparel, Kit Package, Lifestyle, Fabric"
빅스타,거래중,김민지,건별,대상,"패브릭, 승화전사인쇄",승화인쇄,턴키제작,Fabric
신명인쇄,거래중,김민지,정기(월),대상,실크인쇄,실크인쇄,외주용역,"Lifestyle, Tech, Drinkware, Wine, Stationery, Kit Package"
아이티에스글로벌(ITSGlobal),거래중,김민지,건별,대상,생활용품,,단순구매,Tech
어썸리(구. 비코어랩),거래중,김민지,건별,비대상,"테크, 실크인쇄",실크인쇄,턴키제작,Tech
유어백,거래중,김민지,건별,대상,"패브릭, 실크인쇄",실크인쇄,턴키제작,Bag&pouch
유엘상사,거래중,김민지,정기(월),대상,"가죽가공, 공박인쇄, 색박인쇄","공박인쇄, 색박인쇄",턴키제작,"Bag&pouch, Stationery, Lifestyle, Tech, Drinkware"
주식회사 마이크래프트,거래중,김민지,정기(월),비대상,"패브릭, 실크인쇄",실크인쇄,턴키제작,Lifestyle
주식회사 에이엠씨,거래중,김민지,건별,대상,옵셋인쇄,옵셋인쇄,외주용역,Stationery
주식회사 이루커머스,거래중,김민지,건별,대상,"가죽가공, 공박인쇄, 색박인쇄",공박인쇄,턴키제작,Tech
크루티,거래중,김민지,건별,대상,"패브릭, 자수인쇄, 나염인쇄","자수인쇄, 나염인쇄",턴키제작,Apparel
타우하이텍,거래중,김민지,정기(월),대상,레이저인쇄,레이저인쇄,외주용역,"Drinkware, Bag&pouch, Wine, Lifestyle, Fragrance, Tech"
투리빙,거래중,김민지,건별,비대상,"생활용품, 레이저인쇄",레이저인쇄,턴키제작,Lifestyle
하나 세라믹,거래중,김민지,정기(월),비대상,세라믹전사인쇄,세라믹전사인쇄,턴키제작,Drinkware
홍보요업,거래중,김민지,정기(월),대상,세라믹전사인쇄,세라믹전사인쇄,턴키제작,Drinkware
(주)데코컴퍼니,거래중,김하은,건별,비대상,테크,,단순구매,Tech
(주)영일패키지,거래중,김하은,건별,비대상,"패키지, 펠트가공",,단순구매,"Kit Package, Fabric, Lifestyle, Bag&pouch, Apparel"
(주)유닉스글로벌,거래중,김하은,건별,비대상,"생활용품, 패브릭",,단순구매,Lifestyle
(주)효성에스피,거래중,김하은,건별,비대상,사무용품,,단순구매,Stationery
RD상사(세나토코리아),거래중,김하은,건별,비대상,"사무용품, 친환경소재",,단순구매,Stationery
보소코리아,거래중,김하은,건별,비대상,"드링크웨어, 플라스틱 제조",,단순구매,Wine
블록가든,거래중,김하은,건별,비대상,피규어,,단순구매,Brick
성현산업(주),거래중,김하은,건별,비대상,"패키지, 비닐",,단순구매,Kit Package
엘바 (ELVA),거래중,김하은,정기(월),비대상,사무용품,,단순구매,Stationery
주식회사 디비더블유디(구.디자인방위대),거래중,김하은,건별,대상,사무용품,,단순구매,Stationery
주식회사 블루윈,거래중,김하은,건별,비대상,"생활용품, 테크",,단순구매,Tech
주식회사 센트온,거래중,김하은,건별,대상,방향,,단순구매,Fragrance
주식회사 에코에이스,거래중,김하은,건별,비대상,"드링크웨어, 플라스틱 제조",,단순구매,Drinkware
디케이에스에이치코리아(주),거래중,육승미,정기(월),비대상,"사무용품, 칠도금",컬러조각인쇄,턴키제작,Stationery
엠알오즈(MROZ),거래중,육승미,정기(월),대상,"피규어, UV평판인쇄",UV인쇄,턴키제작,Brick
올댓프린팅,거래중,육승미,정기(월),대상,"아크릴가공, UV평판인쇄",UV인쇄,턴키제작,"Awards & Recognition,Stationery,Kit Package,Lifestyle,Drinkware"
