task_id,과업지시일자,과업담당자_이름,수주처,project,발주번호,movement_산출이동,sync_itemdb,산출물,비스포크여부,긴급여부,미입하 발생이력_movement,재제작/추가제작,발주지시수량,고객주문수량,이슈체크(Order 이슈 관리용) (from order),공급가액,배송비,취득원가,파츠유형,협력사 결제조건 (from 수주처),R) 판매가(최종),세금계산서작성월 (from 지출결의),입하예정일 (from movement_산출물),입하확정일 (from movement_산출물),실제입하일 (from movement),지출결의,결제일(from 지출결의),분할지출여부,합계_분할,발주수량_분할,지출결의_분할갯수,지출결의 금액 합계 (from 지출결의),지출현황,총 지출 단가 (VAT 포함),총 지출액 (VAT 제외),조정금액(부가세포함),입하여부
PNA51975_퀵차지 도킹형 보조배터리_A2,2026.5.11,남인호,신시어리웨일즈 주식회사,PNA51975-법무법인대륙아주,PO072726,MM00210588,"QUIC_PT4285-UV_풀컬러_전면_와이이케이글래스주식회사[퀵차지도킹형보조배터리],QUIC_PT4289-퀵차지도킹형보조배터리(UV)_추상적산출물",UV(퀵차지보조배터리),,-,0 checked out of 1,,101,100,0 checked out of 2,0,0,0,"Printing Parts, Phantom Parts",정기(월),\100000,,2026.5.15,,2026.5.13,,,,,,0,₩0,,0,0,,입하완료
PNA51862_베이직 무선충전 마우스패드_A1,2026.5.11,김하은,(주)명성,PNA51862-스패로우,PO072733,MM00210611,"BMMP_PT4659-실크_화이트1색_(주)명성,BMMP_PT4657-베이직무선충전마우스패드_블랙,BMMP_PT4669-베이직무선충전마우스패드_추상적산출물",베이직무선충전마우스패드,,-,0 checked out of 1,,202,200,0 checked out of 3,1377273,25455,1402728,"Printing Parts, Product Parts, Phantom Parts",정기(월),\2220000,26년 5월,2026.5.15,,2026.5.15,26.6.8-6.12_(주)명성,2026.6.11,,₩0,,1,₩7484600,지출완료,7639,1402727,,입하완료
PNA51737_브랜디드 피규어 키링_A2,2026.5.11,육승미,엠알오즈(MROZ),PNA51737-전북특별자치도교육청,PO072731,MM00210613,"BRPK_PT4421-브랜디드피규어(기본피규어)_컬러,BRPK_PT4431-본드접착(키링)[브랜디드피규어(키링)],BRPK_PT4728-브랜디드피규어키링_추상적산출물,BRPK_PT5052-피규어부품(헤어/모자)_컬러,BRPK_PT5055-피규어부품(손)_컬러,BRPK_PT4424-UV_피규어상체전면_엠알오즈(MROZ)[브랜디드피규어(기본피규어)],BRPK_PT4473-핸드블록(C),BRPK_PT1318-실버팩_100-1",브랜디드피규어키링,,-,0 checked out of 1,,101,100,0 checked out of 8,565600,14452,580052,"Product Parts, Phantom Parts, Printing Parts, Package Parts",정기(월),\920000,26년 5월,2026.5.27,,2026.5.21,26.6.8-6.12_엠알오즈(MROZ),2026.6.11,,₩0,,1,₩29526130,지출완료,6317,580052,,입하완료
PNA51975_퀵차지 도킹형 보조배터리_B1,2026.5.11,육승미,서울디지털인쇄협동조합,PNA51975-법무법인대륙아주,PO072725,MM00210589,QUIC_PT4290-사각스티커(커스텀인쇄)_화이트+디지털풀컬러,사각스티커(퀵차지보조배터리),,-,0 checked out of 1,,110,100,0 checked out of 1,18700,0,18700,Package Parts,정기(월),\40000,26년 5월,2026.5.15,,2026.5.15,26.6.8-6.12_서울디지털인쇄협동조합,2026.6.11,,₩0,,1,₩20710151,지출완료,187,18700,,입하완료
PNA51737_스탠바이 빅팬선풍기_A1,2026.5.11,육승미,(주)쉔코리아,PNA51737-전북특별자치도교육청,PO072730,MM00210608,"FANB_PT5372-스탠바이빅팬선풍기_화이트,FANB_PT5377-스탠바이빅팬선풍기_추상적산출물,FANB_PT5374-UV_풀컬러_팬중앙_(주)쉔코리아",스탠바이빅팬선풍기,,-,0 checked out of 1,,104,100,0 checked out of 3,1518400,14545,1532945,"Product Parts, Phantom Parts, Printing Parts",정기(월),\2140000,26년 5월,2026.5.22,,2026.5.22,26.6.8-6.12_(주)쉔코리아,2026.6.11,,₩0,,1,₩10991330,지출완료,16214,1532945,,입하완료
PNA51737_아트워크 타월_B1,2026.5.11,육승미,서울디지털인쇄협동조합,PNA51737-전북특별자치도교육청,PO072729,MM00210609,AWTW_PT4850-브랜딩택(커스텀인쇄)_화이트+디지털풀컬러,브랜딩택(브랜디드 타월),,-,0 checked out of 1,,210,200,0 checked out of 1,75600,0,75600,Package Parts,정기(월),\80000,26년 5월,2026.5.15,,2026.5.13,26.6.8-6.12_서울디지털인쇄협동조합,2026.6.11,,₩0,,1,₩20710151,지출완료,396,75600,,입하완료
PNA51737_브랜디드 피규어 키링_A1,2026.5.11,육승미,서울디지털인쇄협동조합,PNA51737-전북특별자치도교육청,PO072732,MM00210612,BRPK_PT4435-배경지(커스텀인쇄)(키링)_화이트+디지털풀컬러[실버팩],배경지(키링),,-,0 checked out of 1,,110,100,0 checked out of 1,33000,0,33000,Package Parts,정기(월),\70000,26년 5월,2026.5.15,,2026.5.15,26.6.8-6.12_서울디지털인쇄협동조합,2026.6.11,,₩0,,1,₩20710151,지출완료,330,33000,,입하완료
PNA51985_미니어처 NFC 키링_A2,2026.5.11,김영준,주식회사 프래그(PRAG Corp.),PNA51985-웍스피어(샘플),PO072706,MM00210522,"MNFC_PT5236-미니어처NFC키링(책),MNFC_PT5274-미니어처NFC키링_추상적산출물,MNFC_PT5241-군번줄(실버),MNFC_PT5235-OPP(기성)_투명_000-6,MNFC_PT5233-배경지(커스텀인쇄)(OPP)_화이트+디지털풀컬러_000-17,MNFC_PT5283-샘플(본제작과동일옵션)",미니어처NFC키링,,긴급,0 checked out of 1,,2,"1, 0",0 checked out of 6,50000,0,50000,"Product Parts, Phantom Parts, Package Parts",정기(월),\89000,26년 5월,2026.5.15,,2026.5.15,26.6.15-6.19_주식회사 프래그(PRAG Corp.),2026.6.16,,₩0,,1,₩4507690,지출완료,27500,50000,,입하완료
PNA38459_0511_1781,2026.5.11,이난영,(주)청산인쇄,PNA38459-26년5월_재고생산,PO072724,"MM00210580,MM00212899",STCK_PT1569-컬러풀노트패드_블랙,컬러풀노트패드(블랙_재고),,,0 checked out of 2,,1000,,0 checked out of 1,1871000,0,1871000,Product Parts,정기(월),\0,26년 5월,"2026.5.28, 2026.5.28",2026.5.28,"2026.5.28, 2026.5.28",26.6.15-6.19_(주)청산인쇄,2026.6.18,,₩0,,1,₩22502370,지출완료,2058,1871000,,"입하완료,입하완료"
PNA51916_포시즌 블랭킷_A1,2026.5.11,김민지,빅스타,PNA51916-에이치아이여성의원,PO072719,MM00210559,"FSBL_PT1720-포시즌블랭킷(무릎담요),FSBL_PT1722-전사_무릎담요전면_포시즌블랭킷_빅스타[포시즌블랭킷(무릎담요)],FSBL_PT2591-포시즌블랭킷_추상적산출물",포시즌블랭킷+인쇄,,긴급,0 checked out of 1,,101,100,0 checked out of 3,909000,0,909000,"Product Parts, Printing Parts, Phantom Parts",건별,\1370000,26년 5월,2026.5.19,,2026.5.19,26.5.18-5.22_빅스타,2026.5.21,,₩0,,1,₩999900,지출완료,9900,909000,,입하완료
