Goods Name,Goods Code,굿즈 Status,출시일,졸업일,출시예정일
커넥트 6in1 케이블키트,CCKT,판매중,2025-10-23,,2025-09-29
핸디 파우더솝,HDPS,졸업,2020-03-16,2025-04-30,
Tailored 스트랩 박스,TILD,판매중,2022-09-30,,2022-09-29
그래픽배너 대용량 보조배터리,GBBT,판매중,2024-08-22,,2024-08-22
Passion 더스트백,DBAG,판매중,2018-10-26,,
브랜디드 피규어 키링,BRPK,판매중,2025-02-20,,
미니멀 무선충전 마우스패드,WLMD,졸업,2019-05-01,2025-02-19,
와이드 디지털 탁상시계,DP32,졸업,,,
디스플레이 피규어 세트,DPFG,판매중,2024-11-22,,
모먼트 일회용 카메라,FCAM,판매중,2023-07-06,,
아트워크 타월,AWTW,판매중,2026-03-31,,
셀렉티브 전동오프너&와인잔 세트,WWST,판매중,2024-11-07,,2024-10-24
브랜뉴 차량용 무선청소기,BNWV,졸업,2019-11-12,2021-12-15,
디테일 드라이버 키트,DTDK,판매중,2019-11-22,,
굿스타트 슈즈백,GSSH,판매중,2023-06-20,,2023-06-08
폴더블 노트북 거치대,DP31,품절,,,
어프로치 | 라이트 노트,DP15,졸업,,,
100% 커스텀 삭스,CSTS,졸업,2019-07-04,2021-11-09,
샤오미 손톱깎이 세트,DP35,졸업,,,
리멤버 타투스티커,TTSK,판매중,2023-09-12,,
페이퍼링 캘린더,PIPR,판매중,2022-08-26,,2022-08-26
슬로건 맨투맨,SMTM,판매중,2024-01-25,,2023-10-05
소프트그립블랙펜,PENN,판매 준비,,,
에디션 골프공 & 볼마커 6구 세트,EDGB,판매중,2021-09-24,,
밸류 무선충전 마우스패드,SMMP,판매중,2025-02-03,,2025-02-03
,,,2026-02-13,,
대나무 칫솔,TB,졸업,2019-02-11,2020-06-24,
스타트 씨드키트,SEED,판매중,2022-02-25,,2022-02-28
비주얼 PD 고속충전기 65W,VSPD,졸업,2024-10-24,,
린넨메쉬스트링파우치,LNMS,판매중,2022-03-30,,
프리미엄 3단 암막우산,DP14,졸업,,,
풀커버 스티치 노트,FCSN,판매중,2024-09-27,,
베러댄 텀블러 ,BTST,판매 준비,2026-07-30,,
에티켓 미스트,ETIM,졸업,2020-06-01,2021-11-18,
커피 펜슬,CFPC,졸업,2021-02-19,2025-05-23,
미니멀 차량용 무선 청소기,DP27,졸업,,,
드라이버스 텀블러,DRIV,졸업,2022-01-25,2024-01-19,2022-01-25
오피스 마우스패드,OFMP,판매중,2019-11-01,,
듀얼 휴대용 선풍기,DP03,졸업,,,
오피스 슬리퍼,OFSL,졸업,2019-09-15,2021-01-12,
챔피언 피규어 트로피,CFTP,판매중,2025-06-27,,
퀵차지 도킹형 보조배터리,QUIC,판매중,2024-08-13,,
,,,,,
올데이 텀블러,ADYT,판매중,2024-05-30,,2024-05-30
몰스킨 2026 다이어리,MOLD,판매중,2025-08-07,,
셀러브레이션 큐브,CLEC,졸업,2020-02-01,2023-07-14,
리멤버 탁상시계,RMBT,판매중,2024-08-06,,
굿데이 캐리어 파우치,DP17,졸업,,,
팝업스토어 피규어 세트,MSFG,판매중,2024-11-22,,
오토매틱 와인오프너,ATWO,판매중,2019-12-05,,2022-02-23
그래픽 에코백,GPEB,판매중,2018-12-28,,
SNOW 손난로 & 보조배터리,SNBT,졸업,2019-10-28,2020-12-28,
포터블 피크닉 롤테이블,PTBC,졸업,2022-04-13,2026-07-13,2022-04-12
에디트 캘린더,EDCD,판매중,2019-08-28,,
플라워 피규어 방향제,,,,,
신시어리서비스,SSSV,판매중,,,
컴포트 스텐머그,,판매중,2026-02-23,,
스테들러 형광펜 세트,DP12,졸업,,,
버티컬 무선충전패드,VWPD,판매중,2020-08-11,,
포인트업 러그,PITU,졸업,2022-04-14,2026-06-25,2022-04-14
칠링패드 냉각선풍기,CPNF,판매중,2025-03-31,,2025-03-31
Reinvent 박스,RIVT,판매중,2020-09-09,,
레터링 유리머그,LTLU,판매중,2022-05-19,,2022-05-20
비스포크,BSPK,판매중,,,
브랜디드 노트북백,BRDD,판매중,2022-04-21,,2022-04-21
케어풀 포켓 새니타이저,CPSY,졸업,2020-10-19,2025-04-30,
,,,,,
베케이션 여권케이스,VCIT,판매중,2022-06-15,,2022-06-15
프라임 폴더블 멀티충전기,PRMF,판매중,2024-06-14,,2024-06-11
사일런스 페블 마우스,DP02,졸업,,,
심볼릭 샤프 & 형광펜 세트 | 스테들러,STDL,판매중,2024-07-26,,2024-07-26
풀커버 스프링노트,FCSP,판매중,2020-05-29,,
,,,,,
슈가케인 텀블러,SGCN,판매중,2023-01-09,,2023-01-06
파카 IM 만년필,PKIM,판매중,2025-10-02,,
레더스킨 다이어리,LSKD,판매중,2021-08-03,,
리틀빅 리유저블컵,LTBR,판매중,2022-07-27,,2022-07-27
스티키 보조배터리,DP26,졸업,,,
브릭 메모&캘린더 스탠드2.0,BMVS,판매중,2026-02-13,,
슬로건 다이어리,SLGN,판매중,2018-08-01,,
Solid 커스텀 G형 박스,SCGB,판매중,2025-04-24,,
트래블 2in1 목베개,NKPL,판매중,2023-09-21,,2023-08-25
킵세이프 마그넷 배터리,MGNB,졸업,2024-01-19,2025-06-25,2024-01-19
파카 조터 XL 볼펜,PKJT,판매중,2025-09-30,,
클린-잇 스티커,STK,졸업,2019-04-29,2020-01-14,
프리미엄 린넨샤쉐,LSCH,판매중,2019-08-29,,
플랫무선충전패드,FWLR,졸업,2019-10-08,2020-12-23,
믹스매치 머그,MIXM,졸업,2020-07-22,2022-05-23,
오아시스 미니 마사지건,OMMG,판매중,2025-11-24,,2025-08-22
킵프레쉬 도시락통,DP21,졸업,,,
파워브리즈 탁상용 선풍기,DP19,졸업,,,
4초 에어 넥쿠션,FSAN,졸업,2019-08-27,2021-12-30,
화이트쇼핑백,WSPB,판매중,2021-06-29,,
BLANK 칫솔살균기,UVBR,판매중,2019-06-10,,
판매용 피규어(제거 대상),,,,,2024-02-19
스탠바이 빅팬선풍기,FANB,판매중,2026-04-14,,
드링크 리얼 에너지,DREL,졸업,2020-06-01,2021-07-08,
릴리프 눈마사지기,EMSG,판매중,2021-01-25,,
픽미 핸들 텀블러,,,,,
브랜드팝 클리어 키링,BCAK,판매중,2024-12-23,,2024-12-18
커피 드립백 | BEAN BROTHERS,BEAN,졸업,2021-08-26,2025-04-30,
개별배송 외박스,GBBS,판매중,2022-06-22,,2022-06-10
미니멀 무선 키보드,DP08,졸업,,,
브랜드-잇,BRDT,판매중,2018-12-04,,
,,,,,
밀크 에코컵,MKEC,판매중,2025-03-25,,2025-03-25
핸디 맥세이프 보조배터리,DP04,졸업,,,
얼티밋 배터리,UTBT,졸업,2020-08-10,2021-10-26,
밸류보드 다이어리,VABD,판매중,2020-08-06,,
해피웨이 런치백,HWDG,판매중,2025-03-06,,2025-02-28
세이프 미니 파우치,SFMP,졸업,2021-02-22,2022-10-05,
미니어처 NFC 키링,MNFC,판매중,2026-02-27,,
액티브 스포츠타월,SPTS,판매중,2023-10-26,,
베이직 무선충전 마우스패드,BMMP,판매중,2025-01-23,,2025-01-23
아트워크 레더 다이어리,ATWK,판매중,2022-07-25,,2022-07-22
,,,,,
,,,,,
굿데이 볼캡,GDEB,판매중,2024-05-14,,2024-04-30
굿이너프 다이어리,GEND,졸업,2019-08-29,2021-01-05,
마일드 타블렛 세탁세제,WASH,졸업,2022-07-28,2024-02-05,2022-07-28
베이직 도킹형 보조배터리,BASD,판매중,2024-07-24,,2024-07-24
와이드클립 펜,WIDC,판매중,2024-06-11,,
Solid 스탠다드 G형 박스,DRCG,판매중,2020-02-17,,
,,,,,
스탠딩 휴대용 선풍기,STPF,판매중,2024-03-29,,2024-03-29
HighLight 슬라이드 지퍼백,HLSZ,판매중,2025-03-21,,2025-03-21
로지텍 라이트 마우스,MSMO,졸업,2024-04-18,2025-04-30,2024-04-16
테스트,1234,,,,
트래블 충전기 3종세트,DP29,졸업,,,
어반 스텐 런치박스 ,USLB,판매중,2026-04-27,,
웜업 스트링 후드집업,WZIP,판매중,2023-10-11,,
핸디 휴대용 소화기,DP40,졸업,,,
