movement_id,이슈카테고리,입하예정일,실제입하일,프로젝트_발주자,출하장소,project_name,item (통합) (from order),이동수량_예정,입하수량,검수수량,불량수량_샘플링검수,재제작/추가제작,운영이슈내용(by물류),운영이슈개선여부,운영이슈개선방안_SCM,수량이슈내용,수량이슈대응방안_SCM,품질이슈내용구분,품질이슈대응필요여부,품질이슈내용,품질등급최초판정,품질등급의견_SCM,품질등급의견판단사유_SCM,품질이슈대응방안_SCM,이슈발생_Report,대표품목 계정구분 (from task)
MM00147501,수량이슈,2025.7.9,2025.7.7,문경선,제이디패키지,PNA31189-25년7월_재고생산,실버팩,500,500,,,,,,,"1박스 500개만 입하되었습니다. (발주수량 1000개)
택배배송이라 시간차로 올 것 같으나 내용 공유를 위해 이슈업로드합니다!",발주서 오 작성,,,,,,,,https://web.miniextensions.com/ea0dYRBb4a6tZkc8rmuB/rec6zmzDrTdPc2hyd,8.수익
MM00131616,수량이슈,2025.7.1,2025.6.24,김하은,이지굿스,PNA33047-대학내일,"홀리데이네임택, 홀리데이네임택, 디지털인쇄, 샘플(디지털풀컬러인쇄), 샘플(디지털풀컬러인쇄)",130,130,,,,,,,"네임택 부족하게 입하되었습니다

발주수량 152개

- 네임택 130개 입하 (22개 부족)
- 스트랩 152개 입하","협력사측 실수로 130개만 제작됨, 부족분 22개 추가 제작하여 다음주 월요일 입하 예정 (MM00145361)",,,,,,,,https://web.miniextensions.com/ea0dYRBb4a6tZkc8rmuB/rec1dDe2sTIX1n1cA,5.상품
MM00145776,수량이슈,2025.7.1,2025.7.1,김민정,(주)쉔코리아,PNA33954-노비따스음악중고등학교,"칠링패드냉각선풍기, 레이저각인, 칠링패드냉각선풍기",52,52,,,,,,,"1박스(40개)만 입고되었습니다. 택배배송이어서 순차배송 될 것으로 예상됩니다.
기록차 이슈 남겨두며 추가로 입고되면 스레드에 공유드리겠습니다!",,,,,,,,,https://web.miniextensions.com/ea0dYRBb4a6tZkc8rmuB/recK0sLnJlXa7g1lE,8.수익
MM00132937,수량이슈,2025.6.30,2025.6.30,김민정,성우무역,PNA31186-25년4월_재고생산,올웨이즈양우산(세트_본품및케이스),2959,2959,,,,,,,3000개가 아닌 2959개 입고,나머지 수량은 3차에 전량 입고 예정입니다.,,,,,,,,https://web.miniextensions.com/ea0dYRBb4a6tZkc8rmuB/recWd0k5yxHZFoxV9,5.상품
MM00145428,수량이슈,2025.6.27,2025.6.26,정승윤,신시어리웨일즈 주식회사,PNA34249-(주)엘리펀트,"와이드클립 펜, 와이드클립 펜, UV",300,300,,,,,,,"발주수량 301개 실입고 300개입니다.
고객주문수량(정수량)에 이상 없어 정상으로 입고하겠습니다!",,,,,,,,,https://web.miniextensions.com/ea0dYRBb4a6tZkc8rmuB/recW0MBn9ntPkPxxs,8.수익
MM00131431,수량이슈,2025.6.25,2025.6.25,,엠알오즈(MROZ),PNA33650-엔씨소프트,"브랜디드피규어, 브랜디드피규어(기본피규어), UV, 지퍼백",701,701,,,,,,,"702개 발주 / 701개 입고입니다.
고객수량에 이상 없어 정상입고하였습니다!",,,,,,,,,https://web.miniextensions.com/ea0dYRBb4a6tZkc8rmuB/rec4iwy9CUb2fURJh,5.상품
MM00131542,수량이슈,2025.6.25,2025.6.17,김민지,백타운 (Bagtown),PNA33598-TKG태광,"굿스타트슈즈백, 굿스타트슈즈백_원단(재단), 완제품공임(굿스타트슈즈백), 케어라벨(유광수입공단)",100,100,,,,,,,"발주수량 101개 / 실입하 100개입니다.

5개입×20봉지
명세서에도 100개로 기재되어있습니다.

고객수량에 이상은 없어 우선 정상 입고하겠습니다!","100개 정상입고, 지출시 확인하여 지출 하겠습니다
",,,,,,,,https://web.miniextensions.com/ea0dYRBb4a6tZkc8rmuB/recCYwqxlMekgXd5e,5.상품
MM00132824,수량이슈,2025.6.25,2025.6.25,김민지,신명인쇄,PNA32842-셰플러코리아,실크,623,623,,,,,,,623개 입하처리 하였으나 임가공 완료 후 키트 완성 수량이 613개로 확인되어 정수량에서 7개 부족한 상황입니다. 원인은 별도로 파악 해 보겠지만 현재까지는 확인이 어렵습니다. 7월 11일 출고예정으로 빠르게 제작이 필요한데 기한내 가능할지 확인 부탁드립니다.,,,,,,,,,https://web.miniextensions.com/ea0dYRBb4a6tZkc8rmuB/recWmnWwlB33vo2kS,8.수익
MM00128441,수량이슈,2025.5.20,2025.5.19,문경선,이고다포장,PNA31187-25년5월_재고생산,에어캡봉투(대),200,200,,,,,,,"대 200개 입고되어야하는데, 
대 100개 1박스, 저희 규격 아닌 에어캡 1박스로 잘못 배송되었습니다",,,,,,,,,https://web.miniextensions.com/ea0dYRBb4a6tZkc8rmuB/rec498OxgnRbNvJ5J,8.수익
MM00127498,수량이슈,2025.5.16,2025.5.15,이난영,서울디지털인쇄협동조합,PNA31187-25년5월_재고생산,사각스티커(KC면제필),1296,1296,,,,,,,"2000개 발주/1296개 입하입니다. (704개 부족)

8×13×6판=624개
8×14×6판=672개",추가 수량 제작하여 납품하기로 협의함,,,,,,,,https://web.miniextensions.com/ea0dYRBb4a6tZkc8rmuB/rec06kYhdoIPsfMiK,8.수익
