Name,파츠명,판매상태,변경일(인터페이스용),판매상태 변경사유,재고소유구분 (from sync_parts),적용 굿즈명,품절 성격,품절 사유,굿즈품절여부,공유대상
SSU002128,PT2344-포인트업러그_러그(반원형.중단모),일시품절,2026.4.7,협력사와 연락이 되지 않아 일시품절 처리합니다.,생산,포인트업 러그,비의도적품절,비의도적_기타,checked,
SSU002129,PT2341-포인트업러그_러그(원형.단모),일시품절,2026.4.7,협력사와 연락이 되지 않아 일시품절 처리합니다.,생산,포인트업 러그,비의도적품절,비의도적_기타,checked,
SSU002130,PT2342-포인트업러그_러그(원형.중단모),일시품절,2026.4.7,협력사와 연락이 되지 않아 일시품절 처리합니다.,생산,포인트업 러그,비의도적품절,비의도적_기타,checked,
SSU002131,PT4478-스탠리슬림보틀_매트블랙,일시품절,2026.4.10,"본사 재고가 없고, 한국 재입고일도 미정으로 일시품절 처리합니다.",신시어리,스탠리 슬림 보틀,비의도적품절,비의도적_공급부족,checked,
SSU002154,PT4476-스탠리슬림보틀_폴라화이트,일시품절,2026.4.27,본사 재고 품절이며 입고예정일은 미정입니다.,신시어리,스탠리 슬림 보틀,비의도적품절,비의도적_공급부족,checked,
SSU002160,PT4477-스탠리슬림보틀_해머톤그린,일시품절,2026.5.7,총판 재고 품절로 일시품절 처리합니다. 재입고일은 미정으로 추후 다시 공유드리겠습니다.,신시어리,스탠리 슬림 보틀,비의도적품절,비의도적_공급부족,checked,
SSU002164,PT1139-슬라이드지퍼백(커스텀인쇄)_투명_200-2,의도적 품절,2026.5.21,"옵션 단순화 대상으로, 재고소진하여 의도적 품절 처리합니다.",신시어리,스탠드-업 칫솔,의도적품절,의도적_졸업예정,,
SSU002169,PT3318-휴대용치약(언파차차30g)_블랙,일시품절,2026.5.28,협력사 재고 품절로 일시 품절 (화이트 미니 치약만 판매 가능합니다) ,협력사,"스탠드-업 칫솔, 라운드 밤부 칫솔",비의도적품절,비의도적_공급부족,,
SSU002171,PT4722-오아시스미니마사지건_블랙,품절예정,2026.5.29,"마사지건 블랙 옵션은 인쇄 난이도 및 운영 효율 이슈로 리오더 제외 예정이며, 현재 재고 소진 후 품절 예정입니다. 현재 50개 1건정도만 더 진행 가능합니다! ",신시어리,오아시스 미니 마사지건,의도적품절,의도적_재고효율화,,
SSU002172,PT5385-슬림터보선풍기(냉각패드형)_화이트,품절예정,2026.6.2,"슬림 터보(냉각패드형) 현재고 670개이며, 협력사 재고는 6월 말 재입고 예정으로 품절 가능성이 있어 품절 예정으로 공지드립니다. 선풍기류 제안 시 슬림 터보 선풍기(베이직) / 칠링패드 선풍기 위주로 우선 소진 요청드립니다! ",신시어리,슬림 터보 선풍기,의도적품절,의도적_재고효율화,,
