period_unit,period_key,parts_no,parts_name,category,sub_category,procurement_type,production_type,sourcing_type,sales_status,is_managed,inv_qty,unit_price,inv_amount,sales_1m,sales_3m,sales_ytd,turnover_1m,turnover_3m,turnover_ytd,stockout_start,stockout_days,last_issue_date,last_issue_summary,서브카테고리,inv_1m_avg,inv_3m_avg,inv_ytd_avg,is_first_order,is_new_product,season_type
weekly,2026-01-02,PT4714,PT4714-메모패드,Figure,Product Parts,국내생산,국내생산,해당없음,판매가능,Y,2556,781,1996236,0,0,0,0,0,0,,0,,,월드 오브 피규어,1996236,1996236,1996236,N,Y,
weekly,2026-01-02,PT1464,PT1464-올블랙펜_매트블랙,Stationery,Product Parts,국내소싱,해외생산,국내소싱,판매가능,Y,0,1641,0,0,0,0,0,0,0,,0,,,펜,0,0,0,N,N,
weekly,2026-01-02,PT0536,PT0536-무광스트링파우치(커스텀인쇄)(M)_반투명_200-1,Drinkware,Package Parts,국내생산,국내생산,해당없음,판매가능,Y,566,298,168668,295,1351,295,0.5212014134,2.386925795,0.5212014134,,0,,,미분류,168668,168668,168668,N,N,
weekly,2026-01-02,PT0563,PT0563-코튼스트링파우치(커스텀인쇄)(XL)_광목_200-2,Kit Package,Package Parts,중개소싱,해외생산,중개소싱,판매가능,Y,279,1660,463140,400,1380,400,1.433691756,4.946236559,1.433691756,,0,,,미분류,463140,463140,463140,N,N,
weekly,2026-01-02,PT4844,PT4844-사용설명서(전용)_화이트,Tech,Package Parts,국내생산,국내생산,해당없음,판매가능,Y,2221,67,148807,1770,3356,1770,0.7969383161,1.511031067,0.7969383161,,0,,,미분류,148807,148807,148807,N,Y,
weekly,2026-01-02,PT3385,PT3385-시그니처다이어리_밴드_14.노랑,Stationery,Product Parts,국내생산,국내생산,해당없음,판매가능,Y,0,95,0,600,870,600,0,0,0,,0,,,미분류,0,0,0,N,N,
weekly,2026-01-02,PT3159,PT3159-주의사항표기서(전용),Drinkware,Package Parts,국내생산,국내생산,해당없음,판매가능,Y,1169,29,33901,621,1091,621,0.5312232678,0.9332763045,0.5312232678,,0,,,미분류,33901,33901,33901,N,N,
weekly,2026-01-02,PT3193,PT3193-투명손잡이지퍼백(M),Bag&pouch,Package Parts,국내생산,국내생산,해당없음,판매가능,Y,0,203,0,200,2262,200,0,0,0,,0,,,미분류,0,0,0,N,N,
weekly,2026-01-02,PT2231,PT2231-크로스스트랩_블랙,Bag&pouch,Product Parts,중개소싱,해외생산,중개소싱,판매가능,Y,1220,0,0,855,955,855,0,0,0,,0,,,노트북백,0,0,0,N,N,
weekly,2026-01-02,PT0407,PT0407-바스켓_바디_그레이,Kit Package,Product Parts,국내생산,국내생산,해당없음,판매가능,Y,765,0,0,0,0,0,0,0,0,,0,,,플라스틱 박스,0,0,0,N,N,
weekly,2026-01-02,PT0549,PT0549-텀블러류지지박스_블랙_000-1,Kit Package,Package Parts,국내생산,국내생산,해당없음,판매가능,Y,1929,225,434025,1410,3210,1410,0.7309486781,1.66407465,0.7309486781,,0,,,미분류,434025,434025,434025,N,N,
weekly,2026-01-02,PT1116,PT1116-슈가케인펜_그린,Stationery,Product Parts,국내소싱,해외생산,국내소싱,판매가능,Y,289,2100,606900,300,600,300,1.038062284,2.076124567,1.038062284,,0,,,펜,606900,606900,606900,N,N,
weekly,2026-01-02,PT0889,PT0889-모바일오피스파우치_블랙,Bag&pouch,Product Parts,국내소싱,해외생산,국내소싱,판매가능,Y,273,23636,6452628,0,0,0,0,0,0,,0,,,노트북백,6452628,6452628,6452628,N,N,
weekly,2026-01-02,PT1136,PT1136-스탠드업칫솔_화이트,Lifestyle,Product Parts,국내생산,국내생산,해당없음,판매가능,Y,755,1600,1208000,1125,6136,1125,1.490066225,8.127152318,1.490066225,,0,,,구강관리,1208000,1208000,1208000,N,N,
weekly,2026-01-02,PT4729,PT4729-커넥트6in1케이블키트_본품,Tech,Product Parts,직소싱,해외생산,직소싱,판매가능,Y,460,1911,879060,1131,3619,1131,2.458695652,7.867391304,2.458695652,,0,,,PC/ 노트북 악세사리,879060,879060,879060,Y,Y,
weekly,2026-01-02,PT4763,PT4763-파워업PD충전기_화이트,Tech,Product Parts,중개소싱,해외생산,중개소싱,판매가능,Y,899,9000,8091000,1100,2830,1100,1.223581758,3.147942158,1.223581758,,0,,,충전기,8091000,8091000,8091000,N,Y,
weekly,2026-01-02,PT4752,PT4752-하이라이트슬라이드지퍼백(L),Kit Package,Product Parts,국내생산,국내생산,해당없음,판매가능,Y,47,750,35250,300,1200,300,6.382978723,25.53191489,6.382978723,,0,,,지퍼백,35250,35250,35250,Y,Y,
weekly,2026-01-02,PT4731,PT4731-사용설명서(전용)_화이트,Tech,Package Parts,국내생산,국내생산,해당없음,판매가능,Y,524,120,62880,1131,3619,1131,2.158396947,6.90648855,2.158396947,,0,,,미분류,62880,62880,62880,Y,Y,
weekly,2026-01-02,PT1787,PT1787-오픈박스(스탠다드)(Small)_블랙_100-4,Kit Package,Package Parts,국내생산,국내생산,해당없음,판매가능,Y,525,948,497700,250,2200,250,0.4761904762,4.19047619,0.4761904762,,0,,,미분류,497700,497700,497700,N,N,
weekly,2026-01-02,PT4392,PT4392-주의사항표기서(전용),Drinkware,Package Parts,국내생산,국내생산,해당없음,판매가능,Y,562,63,35406,830,1513,830,1.476868327,2.692170819,1.476868327,,0,,,미분류,35406,35406,35406,N,N,
weekly,2026-01-02,PT4769,PT4769-주의사항표기서(전용)_화이트,Tech,Package Parts,국내생산,국내생산,해당없음,판매가능,Y,733,100,73300,780,3690,780,1.064120055,5.034106412,1.064120055,,0,,,미분류,73300,73300,73300,N,Y,
weekly,2026-01-02,PT1569,PT1569-컬러풀노트패드_블랙,Stationery,Product Parts,국내생산,국내생산,해당없음,판매가능,Y,762,1871,1425702,400,1157,400,0.5249343832,1.518372703,0.5249343832,,0,,,메모패드,1425702,1425702,1425702,N,N,
