period_unit,period_key,group_type,parent_group,group_name,inv_amount,inv_ratio,sku_count,sales_1m,sales_3m,sales_ytd,turnover_1m,turnover_3m,turnover_ytd,weighted_avg_unit_price
weekly,2026-01-09,production,,해외생산,257736633,0.4700961407,76,37488,127245,37488,1.46908917,4.986509053,1.46908917,10348.85525
weekly,2026-01-09,production,,국내생산,290527032,0.5299038593,215,67884,294601,67884,0.7671763931,3.329369698,0.7671763931,3225.374685
weekly,2026-01-09,procurement,,국내소싱,94825563,0.2242922864,36,16415,59726,16415,1.44144546,5.244701281,1.44144546,8164.367588
weekly,2026-01-09,procurement,,국내생산,175162737,0.4143149751,72,27261,127290,27261,0.7394656967,3.452792947,0.7394656967,4545.249013
weekly,2026-01-09,procurement,,중개소싱,107088148,0.2532971575,14,6650,23876,6650,0.7082434491,2.542860239,0.7082434491,11859.79908
weekly,2026-01-09,procurement,,직소싱,45700298,0.108095581,11,4551,12459,4551,1.243453994,3.404129491,1.243453994,13376.49692
weekly,2026-01-09,first_order,,N,492822639,0.898878898,270,97030,390050,97030,1.148385643,4.61638483,1.148385643,5815.866722
weekly,2026-01-09,first_order,,Y,55441026,0.101121102,21,8342,31796,8342,1.912221718,7.288540126,1.912221718,13314.09082
weekly,2026-01-09,new_product,,N,443302045,0.8085563084,239,78169,328633,78169,1.049168505,4.410845647,1.049168505,5896.889755
weekly,2026-01-09,new_product,,Y,104961620,0.1914436916,52,27203,93213,27203,2.330383087,7.985222169,2.330383087,9434.25181
weekly,2026-01-09,season,,미분류,393223386,0.7172158418,264,98660,372018,98660,1.392557906,5.250928512,1.392557906,5650.15909
weekly,2026-01-09,season,,겨울,70346218,0.1283072771,13,6312,46254,6312,0.5362411977,3.929546951,0.5362411977,5468.346672
weekly,2026-01-09,season,,여름,43243729,0.07887396477,9,400,2964,400,0.09048724055,0.6705104525,0.09048724055,9808.710327
weekly,2026-01-09,season,,봄가을,41450332,0.07560291635,5,0,610,0,0,0.2036920011,0,13841.1493
weekly,2026-01-09,subcategory,Drinkware,보틀,19794097,0.04681926617,5,851,1911,851,0.2455574981,0.5514223019,0.2455574981,5808.162413
weekly,2026-01-09,subcategory,Stationery,펜,19782261,0.0467912703,13,14057,45455,14057,1.106734863,3.578760276,1.106734863,1488.826276
weekly,2026-01-09,subcategory,Fragrance,샤쉐,3866841,0.009146295383,4,2700,9086,2700,1.345274153,4.527096651,1.345274153,1085.549048
weekly,2026-01-09,subcategory,Stationery,메모패드,1692418,0.004003100965,3,1820,5923,1820,1.933580562,6.292636081,1.933580562,1656.356105
weekly,2026-01-09,subcategory,Stationery,다이어리,66782938,0.1579626567,9,6112,41589,6112,0.5653536666,3.846939405,0.5653536666,5605.499966
weekly,2026-01-09,subcategory,Stationery,미분류,978019,0.002313322597,13,5653,21117,5653,0.6145068403,2.295514054,0.6145068403,104.6479169
weekly,2026-01-09,subcategory,Kit Package,플라스틱 박스,958100,0.002266207896,4,0,0,0,0,0,0,1300
weekly,2026-01-09,subcategory,Tech,충전기,12717448,0.03008076513,3,1725,5148,1725,1.021876194,3.049633999,1.021876194,8869.262171
weekly,2026-01-09,subcategory,Lifestyle,타월,2719221,0.006431813069,2,2616,10907,2616,6.133827418,25.57402739,6.133827418,3187.926668
weekly,2026-01-09,subcategory,Bag&pouch,노트북백,18466140,0.04367823012,3,1710,1910,1710,1.643474801,1.835694076,1.643474801,18755.34885
weekly,2026-01-09,subcategory,Stationery,포스트잇,5541890,0.0131083132,5,2100,5306,2100,0.8008931968,2.023590144,0.8008931968,2245.571042
weekly,2026-01-09,subcategory,Figure,월드 오브 피규어,11459005,0.02710415156,2,0,0,0,0,0,0,4394.706862
weekly,2026-01-09,subcategory,Drinkware,텀블러,11325609,0.02678862806,4,1961,7971,1961,1.046774568,4.254890404,1.046774568,6742.004359
weekly,2026-01-09,subcategory,Lifestyle,구강관리,3755200,0.008882229298,1,1125,6136,1125,0.7253384913,3.956157318,0.7253384913,1600
weekly,2026-01-09,subcategory,Tech,PC/ 노트북 악세사리,11669018,0.02760089837,5,3201,7722,3201,2.308577036,5.569144601,2.308577036,9252.050506
weekly,2026-01-09,subcategory,Kit Package,지퍼백,694800,0.001643420568,3,300,2000,300,0.2051047642,1.367365095,0.2051047642,487.0725389
weekly,2026-01-09,subcategory,Tech,배터리,6546871,0.01548540941,4,1090,5893,1090,1.460354106,7.895290592,1.460354106,7520.181223
weekly,2026-01-09,subcategory,Lifestyle,여권케이스,1470000,0.003477012428,1,500,1080,500,1.25,2.7,1.25,4200
weekly,2026-01-09,subcategory,Drinkware,리유저블컵,5694600,0.01346952039,4,400,2684,400,0.1146412934,0.7692430784,0.1146412934,1664.562919
weekly,2026-01-09,subcategory,Fragrance,디퓨저,11400,0.00002696458617,1,402,2187,402,10.57894737,57.55263158,10.57894737,300
weekly,2026-01-09,subcategory,Lifestyle,우산,36437420,0.08618596066,2,1920,6644,1920,0.3849850361,1.332208635,0.3849850361,7418.976451
weekly,2026-01-09,subcategory,Lifestyle,캠핑,47319622,0.1119257917,4,0,300,0,0,0.08615760491,0,13589.81766
weekly,2026-01-09,subcategory,Lifestyle,구강가전,5930076,0.0140264952,1,200,2145,200,0.2321532211,2.489843297,0.2321532211,8364
weekly,2026-01-09,subcategory,Lifestyle,명함지갑,2294244,0.005426608776,1,450,1620,450,1.707779886,6.14800759,1.707779886,5238
weekly,2026-01-09,subcategory,Tech,건강가전,21606340,0.05110579095,2,170,590,170,0.1599247413,0.5550329257,0.1599247413,21980
weekly,2026-01-09,subcategory,Lifestyle,모바일 악세사리,3873672,0.009162452847,2,800,2000,800,0.3316749585,0.8291873964,0.3316749585,1606
weekly,2026-01-09,subcategory,Drinkware,머그컵,1382500,0.003270047402,1,200,1000,200,0.3311258278,1.655629139,0.3311258278,2500
weekly,2026-01-09,subcategory,Kit Package,슬리브박스,19184314,0.04537693755,3,1500,4800,1500,0.2734332759,0.8749864829,0.2734332759,3530.960648
weekly,2026-01-09,subcategory,Stationery,노트,8045988,0.0190312927,8,200,6704,200,0.05183520033,1.737515915,0.05183520033,2137.934544
weekly,2026-01-09,subcategory,Lifestyle,가드닝,20380,0.00004820511107,1,100,1572,100,0.09828009828,1.544963145,0.09828009828,20
weekly,2026-01-09,subcategory,Bag&pouch,하드케이스 파우치,21832212,0.05164004929,4,200,5065,200,0.03754624217,0.9508585829,0.03754624217,4098.587594
weekly,2026-01-09,subcategory,Lifestyle,네임택,412900,0.0009766383887,1,100,400,100,0.0233535731,0.09341429239,0.0233535731,100
